year|arid|count
2006|71152600000|39
2006|71578300007|39
2006|71599100008|38
2006|30000008232|38
2006|30000000172|38
2006|77894400003|38
2006|775-3167681|37
2006|20001844993|37
2006|77517300005|37
2006|40000003927|36
2006|77184500000|36
2006|72111400007|36
2006|71281200009|35
2006|20001844957|35
2006|71409400003|35
2006|40000004410|35
2006|77923400003|35
2006|77952800005|35
2006|72172609997|35
2006|71245300002|35
2006|40481290152|35
2006|40000008551|34
2006|20002693723|34
2006|77844700005|33
2006|10000014206|33
2006|30000000193|33
2006|71105700004|33
2006|71868900005|33
2006|701-0562280|32
2006|30000016889|32
2006|50000068239|32
2006|30000002315|32
2006|20001845002|32
2006|71478900009|32
2006|10000007745|31
2006|71012300001|31
2006|77257500009|31
2006|40000013964|31
2006|20002888798|31
2006|791-1872563|30
2006|71598200002|30
2006|71196400007|30
2006|711-3332289|30
2006|71986500009|30
2006|77718200008|30
2006|77446600002|30
2006|71393900005|29
2006|30000031286|29
2006|71341000008|29
2006|20001843624|29
2006|120-2989538|29
2006|71368600004|28
